"Postaja","Glob_sevanje_max","Glob_sevanje_mean","Hitrost_vetra_max","Hitrost_vetra_mean","Hitrost_vetra_min","Sunki_vetra_max","Sunki_vetra_mean","Sunki_vetra_min","Padavine_mean","Padavine_sum","Pritisk_max","Pritisk_mean","Pritisk_min","Vlaga_max","Vlaga_mean","Vlaga_min","Temperatura_Krvavec_max","Temperatura_Krvavec_mean","Temperatura_Krvavec_min","Temperatura_lokacija_max","Temperatura_lokacija_mean","Temperatura_lokacija_min","O3","Mesec","Predviden_O3"
"554","Koper",368,68.625,2.4,1.6375,0.6,3.9,3.025,1.7,0,0,1011.4,1011.3,1011,69.8,60.675,52.8,12.2,11.7125,11.2,27.8,24.675,22.4,107.05,"8",130.65
"346","Koper",1,0.125,2.4,1.6125,0.8,3.3,2.5375,1.7,0,0,1019.5,1019.125,1018.9,86.3,83.075,78.7,-1.5,-2.3625,-3.5,6.7,5.7875,4.7,59.4,"1",76.3
"311","Koper",8,1,4.5,3.375,2,11.1,9,5.5,0,0,1025.1,1023.5375,1022.4,31.6,30.2875,29.3,-9.1,-10.0875,-10.9,5.9,5.5125,5.2,55.45,"11",65.15
"2012","Ljubljana",173,34.125,1,0.55,0.3,2.6,1.75,1.2,0,0,996.7,995.2875,994.2,89,82.9125,77.1,2.1,0.7,-0.4,4.4,3.2,2.2,94.95,"4",95.5
"1668","Ljubljana",198,31.125,0.6,0.375,0.1,2.1,1.5875,1.2,0,0,979.9,978.7375,978.1,85.1,79.75,69.7,5.8,5.025,4.2,10.4,8.2875,6.9,125.35,"4",113.783333333333
"621","Koper",145,19.625,2,1.35,0.8,3.1,2.2,1.5,0,0,1025.2,1024.8625,1024.5,91.8,89.975,84.6,8.7,7.4125,6.7,17.3,16.0125,15.1,77.25,"10",75.5666666666667
"544","Koper",428,87.625,2.7,1.875,1.1,4,3,2,0,0,1010,1009.725,1009.4,83.9,77.0375,55.2,14.4,11.2125,10.3,26.6,22,20.2,123,"8",107.866666666667
"978","Koper",209,30.5,2.1,1.425,1,3.2,2.7875,1.8,0,0,1021.6,1019.7,1018.8,78.7,75.9625,64.8,0.8,-0.2875,-1.2,7.7,5.275,4.3,113.05,"3",82.95
"1784","Ljubljana",397,85.25,1.6,0.65,0.3,3.3,1.7375,1.1,0,0,981.5,981.3625,981.1,88.8,83.1875,77.9,13.6,12.1375,11.6,22.4,20.425,19.2,113.35,"8",113.8
"1473","Ljubljana",316,56.625,1.3,0.575,0.3,2.8,1.6375,0.9,0,1,983.7,983.225,983,83.9,76.65,69,11.9,9.3875,8.5,18.5,16.4625,15.2,131.95,"8",106.9
"432","Koper",150,28.625,2.7,1.7125,0.9,4.5,3.4875,2.4,0,0,1011,1009.475,1008.2,90.5,83.875,72.9,7.4,3.475,1.9,12.5,10.7375,9.7,120.34,"4",102.925
"1878","Ljubljana",4,0.5,1.1,0.775,0.4,2.7,1.9625,1.5,0,0,993.4,992.325,991.9,98.4,98.3,98,6.8,5.7375,5,3.5,3.3375,3.2,19.15,"11",14.55
"1591","Ljubljana",6,0.75,1.7,0.6,0,3.5,2.175,0.5,0,0,985.9,985.4875,985.2,97.7,93.1375,90.9,-0.1,-0.3875,-0.8,7.5,6.975,6.1,53.25,"1",46.2333333333333
"2193","Ljubljana",82,13,1.2,0.5125,0.2,2.1,1.4125,0.8,0,0,987.9,985.7375,983.3,84.4,79.2125,70.6,-1.7,-4.325,-5.9,1.7,0.2625,-0.7,63.6,"3",60.7
"18","Koper",1.2,0.15,1.8,1.2875,0.7,3.4,2.3125,1.4,1.175,11,995.9,995.0875,994.6,96.7,96.1125,94.7,0.4,0.1875,0,9.6,9.1125,8.8,46.85,"1",70.7166666666667
"458","Koper",415,78.5,2.2,1.85,1.1,3.7,2.975,2,0,0,1008.5,1008.2125,1008,89.9,84.3625,61.6,6.8,4.325,3.3,18.3,14.225,12.8,84.6,"4",79.9
"647","Koper",26,3.25,1.9,1.325,0.8,3.3,2.6,1.8,0.025,1.4,1013.1,1012.6125,1012.3,84.9,79.2,74.3,3.1,2.725,2.3,14.7,14.0875,13.6,81.6,"11",54.45
"2297","Ljubljana",507,128.75,0.9,0.45,0.2,2,1.2875,0.7,0,0,983.1,982.85,982.7,88.7,80.575,67.9,12.4,10.4625,9.7,20.7,17.175,15.1,110.1,"6",76.75
"1428","Ljubljana",463,93.375,1.5,0.95,0.6,3,2.45,1.8,0.0125,0.1,990.3,989.8625,989.4,85.7,78.4375,71.2,12.5,11.1375,10.7,21.7,19.2375,18.3,116.5,"7",107.133333333333
"396","Koper",25,3.125,3.1,2,0.8,6.5,4.2625,1.6,1.025,8.2,1014.2,1013.825,1013.1,90.4,80.5125,69.8,-1.1,-1.8625,-2.3,12.4,10.35,9.4,64.75,"2",79.2833333333333
"1890","Ljubljana",1,0.125,0.9,0.7,0.3,1.8,1.5125,1.1,0,0,984,983.625,983.3,94.8,93.8,92.6,1.4,1,0.7,4.2,4.1625,4.1,7.1,"12",8.68333333333333
"324","Koper",5,0.625,2.4,1.825,1.3,4.6,3.45,2.4,0,0,1032.6,1031.3125,1030.5,91.3,90.4125,89.6,3.9,2.875,2.4,5.6,4.55,4.2,37.05,"12",62.3
"1443","Ljubljana",475,113.125,0.9,0.7375,0.6,2.1,1.6875,1.3,0,0,985.5,985.0625,984.9,85.8,77.6375,62.9,12.5,10.825,10.3,21.6,17.875,15.6,116.2,"7",120.433333333333
"1414","Ljubljana",494,124.75,1.5,0.9625,0.5,3.2,2.2625,1.3,0,0,980.3,979.9125,979.6,81.5,71.5125,65.1,14.9,13.8375,13.5,24.9,22.0125,20.2,115.65,"6",131.783333333333
"955","Koper",59,7.375,4.2,2.575,0.7,10.4,5.6625,1.7,0.075,0.6,1014.6,1011.2625,1009.2,94.3,80.1125,57.3,-1.3,-4.75,-6.7,12.1,10.5,8.8,72.4,"2",79.7833333333333
"1379","Ljubljana",78,21.25,1.1,0.7875,0.4,2.4,1.925,1.4,0,0,969.7,969.275,969.1,96.8,95.2125,91.7,5.3,4.9125,4.5,13.8,13.2125,12.9,62.15,"5",96.1666666666667
"2280","Ljubljana",237.8,70.9,1.8,1.1625,0.7,3.7,2.3875,1.5,2.3,18.2,976.8,976.4375,976,93.5,90.5375,82.5,8.3,7.375,6.5,16.7,15.325,14.7,77.45,"6",82
"2224","Ljubljana",290,46.75,1,0.625,0.3,2.4,1.6875,0.8,0,0,980.2,979.775,979.3,93.1,89.5625,86.3,1.6,1.3125,1,9.4,8.1625,7.5,102.5,"4",88.4166666666667
"2124","Ljubljana",375,80.5,0.2,0.0625,0,1.3,0.4375,0,0,0,984.5,983.975,983.7,95,87.0875,76.9,18.3,14.8125,13.8,23.8,21.7375,20.2,130.95,"8",117.383333333333
